
 alpha             beta            gamma           k       noise           iteration                       D1_rel          D2_rel         Boudnary_1       Boundary_2 
 1.0e-06 	 & 1.0e-02 	 & 0.0e+00 	 & 10 	 & 0.300 	 & 121                       	 & -0.025 	 & +0.020 	 & +0.031 	 & +0.032 \\ 
 1.0e-06 	 & 1.0e-02 	 & 0.0e+00 	 & 10 	 & 0.975 	 & 199                       	 & +0.205 	 & -0.091 	 & +0.117 	 & +0.094 \\ 
 1.0e-06 	 & 1.0e-02 	 & 0.0e+00 	 & 20 	 & 0.000 	 & 131                       	 & -0.077 	 & -0.004 	 & +0.006 	 & +0.008 \\ 
 1.0e-06 	 & 1.0e-02 	 & 0.0e+00 	 & 20 	 & 0.300 	 & 146                       	 & +0.034 	 & -0.069 	 & +0.061 	 & +0.023 \\ 
 1.0e-06 	 & 1.0e-02 	 & 0.0e+00 	 & 20 	 & 0.975 	 & 388                       	 & +0.770 	 & -0.339 	 & +0.439 	 & +0.186 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 5 	 & 0.000 	 & 50                       	 & -0.047 	 & +0.054 	 & +0.099 	 & +0.109 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 5 	 & 0.300 	 & 99                       	 & -0.039 	 & +0.045 	 & +0.102 	 & +0.113 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 5 	 & 0.975 	 & 87                       	 & +0.103 	 & +0.019 	 & +0.140 	 & +0.144 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 10 	 & 0.000 	 & 53                       	 & -0.042 	 & +0.022 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 10 	 & 0.300 	 & 136                       	 & -0.026 	 & +0.021 	 & +0.030 	 & +0.032 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 10 	 & 0.975 	 & 122                       	 & +0.213 	 & -0.078 	 & +0.099 	 & +0.091 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 20 	 & 0.000 	 & 129                       	 & -0.065 	 & -0.006 	 & +0.006 	 & +0.007 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 20 	 & 0.300 	 & 244                       	 & +0.076 	 & -0.072 	 & +0.043 	 & +0.028 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e-02 	 & 20 	 & 0.975 	 & 329                       	 & +0.679 	 & -0.340 	 & +0.355 	 & +0.180 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 5 	 & 0.000 	 & 449                       	 & -0.047 	 & +0.055 	 & +0.099 	 & +0.109 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 5 	 & 0.300 	 & 395                       	 & -0.035 	 & +0.042 	 & +0.100 	 & +0.112 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 5 	 & 0.975 	 & 619                       	 & +0.088 	 & -0.030 	 & +0.115 	 & +0.137 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 10 	 & 0.000 	 & 165                       	 & -0.039 	 & +0.022 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 10 	 & 0.300 	 & 265                       	 & -0.024 	 & +0.024 	 & +0.024 	 & +0.030 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 10 	 & 0.975 	 & 489                       	 & +0.190 	 & -0.063 	 & +0.051 	 & +0.081 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 20 	 & 0.000 	 & 295                       	 & -0.029 	 & -0.003 	 & +0.005 	 & +0.006 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 20 	 & 0.300 	 & 331                       	 & +0.038 	 & -0.045 	 & +0.011 	 & +0.017 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+00 	 & 20 	 & 0.975 	 & 640                       	 & +1.033 	 & -0.246 	 & +0.078 	 & +0.118 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+02 	 & 5 	 & 0.300 	 & 2001                       	 & -0.044 	 & +0.056 	 & +0.097 	 & +0.108 \\ 
 1.0e-06 	 & 1.0e-02 	 & 1.0e+02 	 & 5 	 & 0.975 	 & 2001                       	 & +0.036 	 & +0.008 	 & +0.101 	 & +0.112 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 5 	 & 0.000 	 & 94                       	 & -0.014 	 & +0.050 	 & +0.097 	 & +0.105 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 5 	 & 0.300 	 & 83                       	 & -0.002 	 & +0.049 	 & +0.099 	 & +0.107 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 5 	 & 0.975 	 & 101                       	 & +0.189 	 & -0.048 	 & +0.135 	 & +0.126 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 10 	 & 0.000 	 & 26                       	 & -0.008 	 & +0.018 	 & +0.022 	 & +0.024 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 10 	 & 0.300 	 & 52                       	 & +0.008 	 & +0.016 	 & +0.025 	 & +0.026 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 10 	 & 0.975 	 & 111                       	 & +0.219 	 & -0.048 	 & +0.054 	 & +0.048 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 20 	 & 0.000 	 & 131                       	 & +0.006 	 & -0.001 	 & +0.006 	 & +0.007 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 20 	 & 0.300 	 & 120                       	 & +0.027 	 & -0.011 	 & +0.008 	 & +0.009 \\ 
 1.0e-06 	 & 1.0e+00 	 & 0.0e+00 	 & 20 	 & 0.975 	 & 146                       	 & +0.378 	 & -0.105 	 & +0.033 	 & +0.029 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 5 	 & 0.000 	 & 56                       	 & -0.014 	 & +0.051 	 & +0.097 	 & +0.105 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 5 	 & 0.300 	 & 128                       	 & -0.003 	 & +0.036 	 & +0.101 	 & +0.107 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 5 	 & 0.975 	 & 116                       	 & +0.157 	 & -0.030 	 & +0.128 	 & +0.126 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 10 	 & 0.000 	 & 51                       	 & -0.007 	 & +0.018 	 & +0.022 	 & +0.024 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 10 	 & 0.300 	 & 101                       	 & +0.012 	 & +0.016 	 & +0.025 	 & +0.026 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 10 	 & 0.975 	 & 76                       	 & +0.270 	 & -0.071 	 & +0.055 	 & +0.048 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 20 	 & 0.000 	 & 127                       	 & +0.005 	 & -0.001 	 & +0.005 	 & +0.007 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 20 	 & 0.300 	 & 119                       	 & +0.035 	 & -0.018 	 & +0.008 	 & +0.009 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e-02 	 & 20 	 & 0.975 	 & 212                       	 & +0.361 	 & -0.095 	 & +0.034 	 & +0.029 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 5 	 & 0.000 	 & 496                       	 & -0.011 	 & +0.050 	 & +0.098 	 & +0.105 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 5 	 & 0.300 	 & 493                       	 & +0.002 	 & +0.036 	 & +0.100 	 & +0.107 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 5 	 & 0.975 	 & 628                       	 & +0.160 	 & -0.007 	 & +0.114 	 & +0.124 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 10 	 & 0.000 	 & 161                       	 & -0.005 	 & +0.018 	 & +0.022 	 & +0.024 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 10 	 & 0.300 	 & 254                       	 & +0.009 	 & +0.010 	 & +0.024 	 & +0.026 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 10 	 & 0.975 	 & 377                       	 & +0.205 	 & -0.075 	 & +0.038 	 & +0.045 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 20 	 & 0.000 	 & 198                       	 & +0.007 	 & -0.001 	 & +0.005 	 & +0.006 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 20 	 & 0.300 	 & 162                       	 & +0.024 	 & -0.015 	 & +0.007 	 & +0.008 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+00 	 & 20 	 & 0.975 	 & 217                       	 & +0.341 	 & -0.102 	 & +0.020 	 & +0.026 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+02 	 & 5 	 & 0.000 	 & 2001                       	 & -0.012 	 & +0.057 	 & +0.096 	 & +0.104 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+02 	 & 5 	 & 0.300 	 & 2001                       	 & -0.012 	 & +0.058 	 & +0.097 	 & +0.105 \\ 
 1.0e-06 	 & 1.0e+00 	 & 1.0e+02 	 & 5 	 & 0.975 	 & 2001                       	 & +0.093 	 & +0.012 	 & +0.096 	 & +0.108 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 5 	 & 0.000 	 & 103                       	 & +0.256 	 & +0.034 	 & +0.088 	 & +0.084 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 5 	 & 0.300 	 & 81                       	 & +0.278 	 & +0.033 	 & +0.089 	 & +0.085 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 5 	 & 0.975 	 & 77                       	 & +0.535 	 & -0.067 	 & +0.110 	 & +0.092 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 10 	 & 0.000 	 & 70                       	 & +0.189 	 & +0.014 	 & +0.022 	 & +0.024 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 10 	 & 0.300 	 & 104                       	 & +0.203 	 & +0.010 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 10 	 & 0.975 	 & 99                       	 & +0.436 	 & -0.074 	 & +0.035 	 & +0.034 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 20 	 & 0.000 	 & 95                       	 & +0.142 	 & -0.008 	 & +0.010 	 & +0.014 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 20 	 & 0.300 	 & 114                       	 & +0.165 	 & -0.021 	 & +0.011 	 & +0.015 \\ 
 1.0e-06 	 & 1.0e+01 	 & 0.0e+00 	 & 20 	 & 0.975 	 & 111                       	 & +0.401 	 & -0.088 	 & +0.022 	 & +0.023 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 5 	 & 0.000 	 & 82                       	 & +0.256 	 & +0.035 	 & +0.088 	 & +0.084 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 5 	 & 0.300 	 & 56                       	 & +0.278 	 & +0.013 	 & +0.090 	 & +0.085 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 5 	 & 0.975 	 & 128                       	 & +0.469 	 & -0.003 	 & +0.104 	 & +0.093 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 10 	 & 0.000 	 & 92                       	 & +0.189 	 & +0.014 	 & +0.022 	 & +0.024 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 10 	 & 0.300 	 & 57                       	 & +0.211 	 & -0.003 	 & +0.024 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 10 	 & 0.975 	 & 118                       	 & +0.444 	 & -0.065 	 & +0.036 	 & +0.034 \\ 
